paper_id,pub_year,frontier_size
9404271,1994,20
9405278,1994,28
9405412,1994,19
9406333,1994,39
9406367,1994,27
9408248,1994,20
9411257,1994,40
9412208,1994,29
9412225,1994,40
9412373,1994,24
9501320,1995,44
9501325,1995,40
9501404,1995,27
9502211,1995,19
9503209,1995,25
9503223,1995,24
9503282,1995,22
9503327,1995,25
9503341,1995,23
9503456,1995,22
9504237,1995,30
9504241,1995,37
9504249,1995,19
9504276,1995,21
9504392,1995,22
9505231,1995,39
9506210,1995,42
9506249,1995,30
9506340,1995,23
9507220,1995,40
9507269,1995,26
9507283,1995,32
9507289,1995,22
9507294,1995,24
9507356,1995,31
9507460,1995,38
9508349,1995,41
9508375,1995,22
9508386,1995,19
9508412,1995,20
9509338,1995,23
9509381,1995,27
9510212,1995,30
9510333,1995,26
9510434,1995,32
9510448,1995,22
9511236,1995,21
9512301,1995,21
9512319,1995,22
9512328,1995,25
9601285,1996,32
9601318,1996,27
9601359,1996,34
9602279,1996,22
9604234,1996,29
9604251,1996,36
9604261,1996,31
9604270,1996,36
9604393,1996,37
9604423,1996,30
9604432,1996,22
9605353,1996,27
9605445,1996,30
9606229,1996,33
9606262,1996,42
9606389,1996,39
9606480,1996,29
9607304,1996,23
9607328,1996,32
9607334,1996,22
9607373,1996,22
9607378,1996,32
9607451,1996,30
9607472,1996,22
9608206,1996,40
9608263,1996,29
9608293,1996,20
9608306,1996,24
9608425,1996,20
9609221,1996,38
9609311,1996,26
9609353,1996,36
9609371,1996,30
9610236,1996,19
9610268,1996,30
9610293,1996,41
9610394,1996,21
9610404,1996,32
9610436,1996,26
9610445,1996,32
9611233,1996,27
9611264,1996,33
9611360,1996,23
9611374,1996,20
9611391,1996,23
9612369,1996,19
9612392,1996,30
9612435,1996,42
9612453,1996,31
9701236,1997,20
9701306,1997,23
9702268,1997,35
9702289,1997,19
9702376,1997,35
9702441,1997,40
9703395,1997,32
9704250,1997,28
9704296,1997,32
9704309,1997,35
9704329,1997,20
9704342,1997,31
9704355,1997,22
9704417,1997,22
9705250,1997,44
9706359,1997,30
9706410,1997,31
9706437,1997,28
9706543,1997,28
9707246,1997,42
9707351,1997,28
9707392,1997,33
9707402,1997,36
9707456,1997,44
9708401,1997,28
9708478,1997,19
9709222,1997,30
9709236,1997,30
9709317,1997,25
9709336,1997,23
9709419,1997,22
9709477,1997,37
9710275,1997,34
9710389,1997,41
9710406,1997,33
9710514,1997,23
9710528,1997,19
9711202,1997,24
9711366,1997,44
9711450,1997,23
9711509,1997,30
9712324,1997,25
9712462,1997,22
9712492,1997,34
9712545,1997,38
9801278,1998,23
9801286,1998,25
9802244,1998,35
9802306,1998,36
9802414,1998,30
9803263,1998,21
9803394,1998,27
9803420,1998,22
9803490,1998,21
9804362,1998,22
9804388,1998,23
9804406,1998,27
9805258,1998,22
9805306,1998,26
9805407,1998,43
9805464,1998,37
9806365,1998,36
9806384,1998,21
9806414,1998,23
9806464,1998,22
9806509,1998,23
9807201,1998,23
9807310,1998,22
9807380,1998,27
9807392,1998,32
9807560,1998,28
9808217,1998,42
9808256,1998,37
9808326,1998,27
9808378,1998,36
9808438,1998,27
9809226,1998,40
9809497,1998,42
9809575,1998,30
9810217,1998,38
9810284,1998,19
9810317,1998,19
9810398,1998,39
9810410,1998,40
9810494,1998,43
9810501,1998,22
9810544,1998,39
9811214,1998,24
9811229,1998,40
9811264,1998,23
9811298,1998,42
9811455,1998,24
9811476,1998,33
9812353,1998,37
9812443,1998,24
9812512,1998,20
9902318,1999,26
9902351,1999,31
9902357,1999,30
9902374,1999,41
9902408,1999,19
