paper_id,pub_year,frontier_size
9306209,1993,1
9307208,1993,1
9308217,1993,2
9308246,1993,9
9310216,1993,10
9401313,1994,3
9402364,1994,13
9403302,1994,11
9404300,1994,9
9404304,1994,6
9405270,1994,5
9405299,1994,13
9406345,1994,20
9406386,1994,1
9407208,1994,17
9407261,1994,2
9407276,1994,14
9408207,1994,2
9408291,1994,4
9408310,1994,13
9408331,1994,6
9408332,1994,14
9409385,1994,8
9410413,1994,14
9411232,1994,16
9411339,1994,26
9412295,1994,5
9412393,1994,8
9501206,1995,2
9501212,1995,6
9501311,1995,1
9502233,1995,1
9502416,1995,5
9503237,1995,9
9503257,1995,1
9503258,1995,30
9503278,1995,11
9503483,1995,29
9504358,1995,12
9505252,1995,50
9505265,1995,9
9505307,1995,21
9506441,1995,2
9506471,1995,18
9507212,1995,28
9507398,1995,30
9507438,1995,13
9508211,1995,31
9508344,1995,1
9510386,1995,55
9510400,1995,9
9510417,1995,6
9510428,1995,51
9511324,1995,110
9512330,1995,45
9512412,1995,1
9601289,1996,35
9601362,1996,34
9602307,1996,38
9602345,1996,61
9602378,1996,14
9602380,1996,143
9603219,1996,36
9603231,1996,12
9603247,1996,32
9603293,1996,4
9603312,1996,1
9603336,1996,202
9603440,1996,12
9603442,1996,6
9604269,1996,67
9604387,1996,105
9604429,1996,11
9604444,1996,17
9605422,1996,4
9605465,1996,173
9606360,1996,7
9606408,1996,76
9606431,1996,43
9607311,1996,6
9607337,1996,14
9607423,1996,124
9607434,1996,2
9607446,1996,129
9608358,1996,111
9608388,1996,51
9608435,1996,62
9609304,1996,67
9609467,1996,47
9609488,1996,91
9610269,1996,90
9610451,1996,64
9610544,1996,47
9611225,1996,20
9611250,1996,3
9611260,1996,24
9611325,1996,94
9701214,1997,4
9701248,1997,49
9701267,1997,3
9701361,1997,89
9701396,1997,51
9702281,1997,31
9702347,1997,3
9702381,1997,146
9703414,1997,45
9704205,1997,199
9704243,1997,107
9704263,1997,161
9704364,1997,47
9704369,1997,41
9704448,1997,155
9705254,1997,68
9706326,1997,43
9706346,1997,24
9706374,1997,142
9706485,1997,36
9706550,1997,13
9707362,1997,3
9707484,1997,96
9707508,1997,232
9707529,1997,135
9708244,1997,35
9708259,1997,36
9708412,1997,15
9709248,1997,40
9709338,1997,7
9709468,1997,55
9710224,1997,46
9710383,1997,5
9710406,1997,33
9710422,1997,18
9711216,1997,248
9711289,1997,41
9711342,1997,60
9712201,1997,114
9712219,1997,353
9712262,1997,66
9712322,1997,581
9712363,1997,7
9712385,1997,90
9712456,1997,15
9712516,1997,240
9801320,1998,58
9801370,1998,32
9801399,1998,31
9801443,1998,299
9802213,1998,172
9802259,1998,79
9802325,1998,1
9803298,1998,52
9803364,1998,45
9803401,1998,377
9803441,1998,44
9803468,1998,20
9804236,1998,74
9804316,1998,38
9804327,1998,310
9804373,1998,111
9804412,1998,84
9804433,1998,119
9805288,1998,35
9805427,1998,85
9805494,1998,474
9806239,1998,51
9807216,1998,92
9807240,1998,6
9807247,1998,33
9807258,1998,42
9807274,1998,12
9807398,1998,116
9807422,1998,5
9807490,1998,92
9807532,1998,48
9808287,1998,291
9808380,1998,51
9808459,1998,227
9809223,1998,246
9809260,1998,157
9809471,1998,46
9809569,1998,9
9810234,1998,82
9810312,1998,14
9810488,1998,34
9811226,1998,237
9811277,1998,10
9811317,1998,39
9811472,1998,374
9811475,1998,80
9812246,1998,63
9812291,1998,10
9812314,1998,29
9812335,1998,79
9812351,1998,78
9812400,1998,36
9901294,1999,7
9901366,1999,238
9901417,1999,58
9902469,1999,360
9902477,1999,163
